variant,strategy,object_size,trace_file,median_ms,p90_ms,p99_ms,mean_ms,total_time_s,num_op,native_count,func_count,pushback_count,profiler_fallback_count,profiler_override,source_csv,source_invocation_log,oracle_variant,selected_side,oracle_total_time_s,normalized_total_latency,placement_correct_rate,normalized_regret
local,local,1024,/users/jinwei/projects/Project-FAASPE/faaspe/functions/placement-trace/depth_size_trace.csv,1.620650291442871,16.162252426147464,64.01049613952637,7.709554036458333,2.3441998958587646,300,300,0,0,0,,placement_trace_local.csv,invocations_trace_local.jsonl,trace-oracle,local,0.2298872470855713,10.197172420731018,0.47333333333333333,11.311692032733793
remote,remote,1024,/users/jinwei/projects/Project-FAASPE/faaspe/functions/placement-trace/depth_size_trace.csv,1.0308027267456055,1.2675523757934573,1.391890048980713,1.0459764798482258,0.34571027755737305,300,0,300,0,0,,placement_trace_remote.csv,invocations_trace_remote.jsonl,trace-oracle,remote,0.2298872470855713,1.5038253837051203,0.5266666666666666,1.4137649615956844
faaspe,faaspe,1024,/users/jinwei/projects/Project-FAASPE/faaspe/functions/placement-trace/depth_size_trace.csv,0.8071660995483398,1.9600629806518561,7.936837673187255,1.0936530431111653,0.38951921463012695,300,159,141,0,1,native,placement_trace_faaspe.csv,invocations_trace_faaspe.jsonl,trace-oracle,local,0.2298872470855713,1.6943924448542185,0.9233333333333333,1.0977246279636965
static-only,faaspe,1024,/users/jinwei/projects/Project-FAASPE/faaspe/functions/placement-trace/depth_size_trace.csv,0.9521245956420898,8.54308605194092,17.13605165481567,2.6700655619303384,0.8502609729766846,300,195,105,0,0,,placement_trace_static-only.csv,invocations_trace_static-only.jsonl,trace-oracle,local,0.2298872470855713,3.6986000039410216,0.8233333333333334,3.680622407077526
arbiter-only,faaspe,1024,/users/jinwei/projects/Project-FAASPE/faaspe/functions/placement-trace/depth_size_trace.csv,0.7491111755371094,1.2408971786499028,2.0690035820007324,0.7756463686625162,0.2866196632385254,300,142,158,0,0,,placement_trace_arbiter-only.csv,invocations_trace_arbiter-only.jsonl,trace-oracle,remote,0.2298872470855713,1.2467836596948612,1.0,1.0
runtime-only,faaspe,1024,/users/jinwei/projects/Project-FAASPE/faaspe/functions/placement-trace/depth_size_trace.csv,1.1224746704101562,13.276028633117678,58.74451160430908,5.350486437479655,1.6725578308105469,300,190,110,0,3,native,placement_trace_runtime-only.csv,invocations_trace_runtime-only.jsonl,trace-oracle,local,0.2298872470855713,7.275557265636262,0.49333333333333335,7.751605512936283
trace-oracle,trace-oracle,1024,/users/jinwei/projects/Project-FAASPE/faaspe/functions/placement-trace/depth_size_trace.csv,0.7184743881225586,1.0928869247436523,1.263723373413086,0.6767884890238444,0.2298872470855713,300,142,158,0,0,,placement_trace_trace-oracle.csv,invocations_trace_trace-oracle.jsonl,trace-oracle,remote,0.2298872470855713,1.0,1.0,1.0
