variant,strategy,trace_file,median_ms,p90_ms,p99_ms,mean_ms,total_time_s,num_op,native_count,func_count,pushback_count,profiler_fallback_count,profiler_override,source_csv,source_invocation_log
local,local,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,0.500798225402832,2.4649143218994145,6.102945804595947,1.0004925727844238,0.3279128074645996,300,300,0,0,0,,khop_trace_local.csv,invocations_khop_local.jsonl
remote,remote,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,1.0868310928344727,1.1391878128051758,1.169023513793945,1.0647741953531902,0.35437631607055664,300,0,300,0,0,,khop_trace_remote.csv,invocations_khop_remote.jsonl
faaspe,faaspe,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,0.6077289581298828,2.830028533935548,6.354377269744873,1.2708202997843425,0.434694766998291,300,290,10,0,1,native,khop_trace_faaspe.csv,invocations_khop_faaspe.jsonl
static-only,faaspe,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,1.093149185180664,1.153254508972168,1.174478530883789,1.0662659009297688,0.3712291717529297,300,0,300,0,0,,khop_trace_static-only.csv,invocations_khop_static-only.jsonl
arbiter-only,faaspe,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,1.1234283447265625,1.173257827758789,1.1894106864929197,1.1139480272928874,0.38606691360473633,300,0,300,0,0,,khop_trace_arbiter-only.csv,invocations_khop_arbiter-only.jsonl
runtime-only,faaspe,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,0.7433891296386719,1.1437177658081057,5.020976066589353,0.9183645248413086,0.33339715003967285,300,190,110,0,3,func,khop_trace_runtime-only.csv,invocations_khop_runtime-only.jsonl
khop-oracle,khop-oracle,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,0.6183385848999023,1.094651222229004,1.1251020431518555,0.6643231709798177,0.23057842254638672,300,150,150,0,0,,khop_trace_khop-oracle.csv,invocations_khop_khop-oracle.jsonl
