variant,strategy,trace_file,median_ms,p90_ms,p99_ms,mean_ms,total_time_s,num_op,native_count,func_count,pushback_count,profiler_fallback_count,profiler_override,source_csv,source_invocation_log,oracle_variant,selected_side,oracle_total_time_s,normalized_total_latency,placement_correct_rate,normalized_regret
local,local,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,0.500798225402832,2.4649143218994145,6.102945804595947,1.0004925727844238,0.3279128074645996,300,300,0,0,0,,khop_trace_local.csv,invocations_khop_local.jsonl,khop-oracle,local,0.23057842254638672,1.4221313679020924,0.5,1.6616402205016796
remote,remote,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,1.0868310928344727,1.1391878128051758,1.169023513793945,1.0647741953531902,0.35437631607055664,300,0,300,0,0,,khop_trace_remote.csv,invocations_khop_remote.jsonl,khop-oracle,remote,0.23057842254638672,1.536901467869418,0.5,1.5426181224817923
faaspe,faaspe,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,0.7796287536621094,1.1742591857910158,5.209910869598388,0.9635782241821289,0.34450697898864746,300,190,110,0,3,func,khop_trace_faaspe.csv,invocations_khop_faaspe.jsonl,khop-oracle,local,0.2625563144683838,1.3121260468871028,0.7333333333333333,1.2745977023466062
static-only,faaspe,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,1.093149185180664,1.153254508972168,1.174478530883789,1.0662659009297688,0.3712291717529297,300,0,300,0,0,,khop_trace_static-only.csv,invocations_khop_static-only.jsonl,khop-oracle,remote,0.23057842254638672,1.609990942141377,0.5,1.5368519652786419
arbiter-only,faaspe,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,1.1234283447265625,1.173257827758789,1.1894106864929197,1.1139480272928874,0.38606691360473633,300,0,300,0,0,,khop_trace_arbiter-only.csv,invocations_khop_arbiter-only.jsonl,khop-oracle,remote,0.23057842254638672,1.6743410304451587,0.5,1.5788085348696992
runtime-only,faaspe,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,0.7433891296386719,1.1437177658081057,5.020976066589353,0.9183645248413086,0.33339715003967285,300,190,110,0,3,func,khop_trace_runtime-only.csv,invocations_khop_runtime-only.jsonl,khop-oracle,local,0.23057842254638672,1.4459165188043626,0.7333333333333333,1.316617060169013
khop-oracle,khop-oracle,/users/jinwei/projects/Project-FAASPE/faaspe/functions/k-hop/khop_trace_stable.csv,0.6183385848999023,1.094651222229004,1.1251020431518555,0.6643231709798177,0.23057842254638672,300,150,150,0,0,,khop_trace_khop-oracle.csv,invocations_khop_khop-oracle.jsonl,khop-oracle,local,0.23057842254638672,1.0,1.0,1.0
