name,num_op,strategy,value_len,total_time,median,p90,p99,max,min,mean,success tput,abort tput
hot-get,1000,local,1024,0.18119549751281738,0.17714500427246094,0.18310546875,0.19979476928710938,0.4527568817138672,0.16307830810546875,0.17556095123291016,5518.90,0.00
hot-update,1000,local,1024,0.9644112586975098,0.9330511093139648,1.1296987533569336,1.3396835327148438,1.9137859344482422,0.7071495056152344,0.9507737159729004,1036.90,0.00
cold-get,1000,local,1024,0.9778547286987305,0.9636878967285156,1.0588645935058594,1.085054874420166,1.7139911651611328,0.6110668182373047,0.9619812965393066,1022.65,0.00
cold-update,1000,local,1024,1.8056299686431885,1.7919540405273438,1.9593477249145508,2.072174549102783,2.7337074279785156,1.4121532440185547,1.788651704788208,553.82,0.00
hot-get,1000,remote,1024,0.9014713764190674,0.8808374404907227,1.0090351104736328,1.0550141334533691,1.8253326416015625,0.5965232849121094,0.8848018646240234,1109.30,0.00
hot-update,1000,remote,1024,0.9961309432983398,0.9825229644775391,1.082468032836914,1.127486228942871,1.7495155334472656,0.7114410400390625,0.9792079925537109,1003.88,0.00
cold-get,1000,remote,1024,0.9466409683227539,0.9340047836303711,1.0567188262939453,1.0912561416625977,1.6601085662841797,0.6034374237060547,0.929814338684082,1056.37,0.00
cold-update,1000,remote,1024,0.9006819725036621,0.8778572082519531,1.0061979293823242,1.0681605339050293,1.6372203826904297,0.6003379821777344,0.8834383487701416,1110.27,0.00
hot-get,1000,kayak,1024,0.5783379077911377,0.4870891571044922,0.9275913238525391,1.1003375053405762,1.7664432525634766,0.1780986785888672,0.5631461143493652,1729.09,0.00
hot-update,1000,kayak,1024,1.1770312786102295,1.1250972747802734,1.4314889907836914,1.5306520462036133,2.097606658935547,0.7688999176025391,1.1579856872558594,849.60,0.00
cold-get,1000,kayak,1024,0.841956615447998,0.8254051208496094,0.9315013885498047,1.0128307342529297,1.6453266143798828,0.4832744598388672,0.8231778144836426,1187.71,0.00
