name,num_op,strategy,access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
file-replicator,1000,local,hot,44.50181198120117,44.20948028564453,46.216487884521484,47.1561598777771,50.19092559814453,39.8712158203125,44.48243808746338,22.47,0.00
file-replicator,1000,remote,hot,0.7217879295349121,0.7156133651733398,0.8354663848876953,0.905308723449707,1.5535354614257812,0.4074573516845703,0.7144784927368164,1385.45,0.00
file-replicator,1000,kayak,hot,24.398980855941772,1.057744026184082,50.01883506774902,50.878846645355225,52.11162567138672,0.5056858062744141,24.38245916366577,40.99,0.00
file-replicator,1000,asfp,hot,10.156357288360596,1.0251998901367188,47.24228382110596,48.117713928222656,49.86882209777832,0.6639957427978516,10.141682624816895,98.46,0.00
file-replicator,1000,local,cold,49.00629901885986,49.12376403808594,49.68254566192627,50.48027515411377,68.99714469909668,41.38779640197754,48.9865026473999,20.41,0.00
file-replicator,1000,remote,cold,0.83744215965271,0.8261203765869141,0.9699106216430664,1.0023236274719238,1.7120838165283203,0.47969818115234375,0.8274195194244385,1194.11,0.00
file-replicator,1000,kayak,cold,24.51936364173889,1.1544227600097656,49.605369567871094,50.410916805267334,68.01891326904297,0.8177757263183594,24.500839948654175,40.78,0.00
file-replicator,1000,asfp,cold,9.221693754196167,0.9708404541015625,50.04751682281494,51.07335329055786,70.40166854858398,0.6449222564697266,9.207313299179077,108.44,0.00
