depth,object_size,variant,strategy,median_ms,p90_ms,p99_ms,mean_ms,total_time_s,num_op,native_count,func_count,pushback_count,profiler_fallback_count,profiler_override,source_csv,source_invocation_log,oracle_side,selected_side,placement_correct_rate,oracle_median_ms,oracle_total_time_s,normalized_median_latency,normalized_total_latency,normalized_regret
1,1024,local,local,0.14495849609375,0.1746177673339844,0.23816108703613262,0.153807004292806,0.05881762504577637,300,300,0,0,0,,matrix_depth1_size1024_local.csv,invocations_depth1_size1024_local.jsonl,local,local,1.0,0.14495849609375,0.05881762504577637,1.0,1.0,1.0
1,1024,remote,remote,0.9045600891113281,1.0512828826904297,1.139674186706543,0.865624745686849,0.2926149368286133,300,0,300,0,0,,matrix_depth1_size1024_remote.csv,invocations_depth1_size1024_remote.jsonl,local,remote,0.0,0.14495849609375,0.05881762504577637,6.240131578947368,4.974953283150722,5.627993014147385
1,1024,faaspe,faaspe,0.23567676544189453,0.42877197265625,0.5534434318542479,0.25179704030354816,0.11699724197387695,300,300,0,0,0,,matrix_depth1_size1024_faaspe.csv,invocations_depth1_size1024_faaspe.jsonl,local,local,1.0,0.14495849609375,0.05881762504577637,1.6258223684210527,1.9891527732175647,1.0
1,1024,static-only,faaspe,0.1436471939086914,0.15404224395751953,0.18555879592895502,0.14487107594807944,0.06707644462585449,300,300,0,0,0,,matrix_depth1_size1024_static-only.csv,invocations_depth1_size1024_static-only.jsonl,local,local,1.0,0.14495849609375,0.05881762504577637,0.990953947368421,1.1404140268099991,1.0
1,1024,arbiter-only,faaspe,0.15270709991455078,0.17595291137695312,0.2211999893188475,0.15365839004516602,0.07223725318908691,300,300,0,0,0,,matrix_depth1_size1024_arbiter-only.csv,invocations_depth1_size1024_arbiter-only.jsonl,local,local,1.0,0.14495849609375,0.05881762504577637,1.053453947368421,1.228156579475393,1.0
1,1024,runtime-only,faaspe,0.4031658172607422,0.5943059921264648,1.077141761779785,0.40863434473673504,0.17061066627502441,300,270,30,0,3,native,matrix_depth1_size1024_runtime-only.csv,invocations_depth1_size1024_runtime-only.jsonl,local,local,0.9,0.14495849609375,0.05881762504577637,2.78125,2.9006724794182386,1.4815846311242469
1,4096,local,local,0.13053417205810547,0.14619827270507812,0.21039485931396432,0.13547658920288086,0.05240178108215332,300,300,0,0,0,,matrix_depth1_size4096_local.csv,invocations_depth1_size4096_local.jsonl,local,local,1.0,0.13053417205810547,0.05240178108215332,1.0,1.0,1.0
1,4096,remote,remote,0.850677490234375,0.9801864624023438,1.0561180114746092,0.8399470647176107,0.28160595893859863,300,0,300,0,0,,matrix_depth1_size4096_remote.csv,invocations_depth1_size4096_remote.jsonl,local,remote,0.0,0.13053417205810547,0.05240178108215332,6.51689497716895,5.373976859624458,6.199942511541688
1,4096,faaspe,faaspe,0.18167495727539062,0.22833347320556643,0.27925014495849604,0.18464088439941406,0.08700871467590332,300,300,0,0,0,,matrix_depth1_size4096_faaspe.csv,invocations_depth1_size4096_faaspe.jsonl,local,local,1.0,0.13053417205810547,0.05240178108215332,1.3917808219178083,1.6604152164121044,1.0
1,4096,static-only,faaspe,0.14328956604003906,0.15878677368164062,0.1764583587646482,0.14578978220621744,0.06517291069030762,300,300,0,0,0,,matrix_depth1_size4096_static-only.csv,invocations_depth1_size4096_static-only.jsonl,local,local,1.0,0.13053417205810547,0.05240178108215332,1.097716894977169,1.2437155635632355,1.0
1,4096,arbiter-only,faaspe,0.1266002655029297,0.18148422241210938,0.19487857818603507,0.13663212458292642,0.0651249885559082,300,300,0,0,0,,matrix_depth1_size4096_arbiter-only.csv,invocations_depth1_size4096_arbiter-only.jsonl,local,local,1.0,0.13053417205810547,0.05240178108215332,0.9698630136986301,1.2428010500980486,1.0
1,4096,runtime-only,faaspe,0.22137165069580078,0.47950744628906294,0.7817101478576659,0.27085145314534503,0.1173558235168457,300,270,30,0,3,native,matrix_depth1_size4096_runtime-only.csv,invocations_depth1_size4096_runtime-only.jsonl,local,local,0.9,0.13053417205810547,0.05240178108215332,1.6958904109589041,2.2395388304237245,1.3646058814212554
1,10240,local,local,0.1933574676513672,0.21317005157470703,0.29922246932983376,0.19492069880167642,0.07216930389404297,300,300,0,0,0,,matrix_depth1_size10240_local.csv,invocations_depth1_size10240_local.jsonl,local,local,1.0,0.1933574676513672,0.07216930389404297,1.0,1.0,1.0
1,10240,remote,remote,0.8857250213623047,1.056218147277832,1.1304879188537595,0.8759212493896484,0.29795265197753906,300,0,300,0,0,,matrix_depth1_size10240_remote.csv,invocations_depth1_size10240_remote.jsonl,local,remote,0.0,0.1933574676513672,0.07216930389404297,4.580764488286067,4.128523290386521,4.493731321376296
1,10240,faaspe,faaspe,0.19562244415283203,0.3125190734863282,0.4473733901977538,0.22482872009277344,0.10101032257080078,300,300,0,0,0,,matrix_depth1_size10240_faaspe.csv,invocations_depth1_size10240_faaspe.jsonl,local,local,1.0,0.1933574676513672,0.07216930389404297,1.0117139334155363,1.399629996696399,1.0
1,10240,static-only,faaspe,0.25141239166259766,0.47097206115722656,0.5698513984680176,0.2903445561726888,0.12248706817626953,300,300,0,0,0,,matrix_depth1_size10240_static-only.csv,invocations_depth1_size10240_static-only.jsonl,local,local,1.0,0.1933574676513672,0.07216930389404297,1.3002466091245377,1.697218368021143,1.0
1,10240,arbiter-only,faaspe,0.4935264587402344,0.5881547927856445,0.6227922439575195,0.4745928446451823,0.20260167121887207,300,300,0,0,0,,matrix_depth1_size10240_arbiter-only.csv,invocations_depth1_size10240_arbiter-only.jsonl,local,local,1.0,0.1933574676513672,0.07216930389404297,2.5524044389642415,2.8073108688470434,1.0
1,10240,runtime-only,faaspe,0.3757476806640625,0.5958080291748048,0.9812140464782714,0.39070288340250653,0.16321754455566406,300,270,30,0,3,native,matrix_depth1_size10240_runtime-only.csv,invocations_depth1_size10240_runtime-only.jsonl,local,local,0.9,0.1933574676513672,0.07216930389404297,1.9432799013563502,2.261592335645854,1.2908503793824688
1,32768,local,local,0.25475025177001953,0.36497116088867193,0.4056596755981444,0.2774190902709961,0.09733200073242188,300,300,0,0,0,,matrix_depth1_size32768_local.csv,invocations_depth1_size32768_local.jsonl,local,local,1.0,0.25475025177001953,0.09733200073242188,1.0,1.0,1.0
1,32768,remote,remote,0.9732246398925781,1.0872364044189453,1.1177253723144531,0.9670154253641764,0.32750678062438965,300,0,300,0,0,,matrix_depth1_size32768_remote.csv,invocations_depth1_size32768_remote.jsonl,local,remote,0.0,0.25475025177001953,0.09733200073242188,3.820308844174076,3.3648417597491673,3.485756601752064
1,32768,faaspe,faaspe,0.22459030151367188,0.31948089599609375,0.40521383285522405,0.24926106135050455,0.10460925102233887,300,300,0,0,0,,matrix_depth1_size32768_faaspe.csv,invocations_depth1_size32768_faaspe.jsonl,local,local,1.0,0.25475025177001953,0.09733200073242188,0.8816097332709406,1.0747672937487753,1.0
1,32768,static-only,faaspe,0.37109851837158203,0.5290031433105469,0.5969834327697752,0.37258148193359375,0.146240234375,300,300,0,0,0,,matrix_depth1_size32768_static-only.csv,invocations_depth1_size32768_static-only.jsonl,local,local,1.0,0.25475025177001953,0.09733200073242188,1.4567150210575572,1.5024887321183618,1.0
1,32768,arbiter-only,faaspe,0.25010108947753906,0.27158260345458984,0.29111623764038086,0.24668375651041666,0.0966026782989502,300,300,0,0,0,,matrix_depth1_size32768_arbiter-only.csv,invocations_depth1_size32768_arbiter-only.jsonl,local,local,1.0,0.25475025177001953,0.09733200073242188,0.9817501169864296,0.9925068587105624,1.0
1,32768,runtime-only,faaspe,0.33605098724365234,0.5532503128051759,0.7975339889526365,0.37284374237060547,0.1513230800628662,300,270,30,0,3,native,matrix_depth1_size32768_runtime-only.csv,invocations_depth1_size32768_runtime-only.jsonl,local,local,0.9,0.25475025177001953,0.09733200073242188,1.3191389798783342,1.5547104644326866,1.1416891547350991
1,65536,local,local,0.40221214294433594,0.563645362854004,0.7006096839904782,0.4132191340128581,0.1444246768951416,300,300,0,0,0,,matrix_depth1_size65536_local.csv,invocations_depth1_size65536_local.jsonl,local,local,1.0,0.40221214294433594,0.1444246768951416,1.0,1.0,1.0
1,65536,remote,remote,0.6384849548339844,0.8353233337402344,0.9687685966491698,0.6231220563252767,0.21662163734436035,300,0,300,0,0,,matrix_depth1_size65536_remote.csv,invocations_depth1_size65536_remote.jsonl,local,remote,0.0,0.40221214294433594,0.1444246768951416,1.5874333135743923,1.49989352236278,1.5113260890470237
1,65536,faaspe,faaspe,0.7027387619018555,0.9244918823242189,1.0318875312805176,0.6955941518147787,0.26082873344421387,300,300,0,0,0,,matrix_depth1_size65536_faaspe.csv,invocations_depth1_size65536_faaspe.jsonl,local,local,1.0,0.40221214294433594,0.1444246768951416,1.7471843509187908,1.805984538456586,1.0
1,65536,static-only,faaspe,0.6630420684814453,0.7958889007568359,0.8646082878112792,0.6336180369059244,0.23154187202453613,300,300,0,0,0,,matrix_depth1_size65536_static-only.csv,invocations_depth1_size65536_static-only.jsonl,local,local,1.0,0.40221214294433594,0.1444246768951416,1.6484884410195613,1.6032015927073549,1.0
1,65536,arbiter-only,faaspe,0.7996559143066406,0.9236574172973633,0.994584560394287,0.7606053352355957,0.2799997329711914,300,300,0,0,0,,matrix_depth1_size65536_arbiter-only.csv,invocations_depth1_size65536_arbiter-only.jsonl,local,local,1.0,0.40221214294433594,0.1444246768951416,1.98814463544754,1.9387250087080548,1.0
1,65536,runtime-only,faaspe,0.5517005920410156,0.7507085800170901,0.9117913246154784,0.5648835500081381,0.21743416786193848,300,270,30,0,3,native,matrix_depth1_size65536_runtime-only.csv,invocations_depth1_size65536_runtime-only.jsonl,local,local,0.9,0.40221214294433594,0.1444246768951416,1.3716656787196206,1.505519503566588,1.085283200307722
1,102400,local,local,0.5123615264892578,0.7229566574096681,0.8268952369689941,0.5561709403991699,0.18526411056518555,300,300,0,0,0,,matrix_depth1_size102400_local.csv,invocations_depth1_size102400_local.jsonl,local,local,1.0,0.5123615264892578,0.18526411056518555,1.0,1.0,1.0
1,102400,remote,remote,0.7681846618652344,0.9496450424194336,1.0390853881835938,0.7837382952372233,0.26609325408935547,300,0,300,0,0,,matrix_depth1_size102400_remote.csv,invocations_depth1_size102400_remote.jsonl,local,remote,0.0,0.5123615264892578,0.18526411056518555,1.4993020009306655,1.4362914289097026,1.4135305254885149
1,102400,faaspe,faaspe,0.8331537246704102,1.0401010513305664,1.1914587020874023,0.8304222424825033,0.3076820373535156,300,0,300,0,0,,matrix_depth1_size102400_faaspe.csv,invocations_depth1_size102400_faaspe.jsonl,local,remote,0.0,0.5123615264892578,0.18526411056518555,1.626105165193113,1.6607751842214311,1.4949437359339834
1,102400,static-only,faaspe,1.0335445404052734,1.131296157836914,1.2056851387023926,1.0082650184631348,0.3672018051147461,300,300,0,0,0,,matrix_depth1_size102400_static-only.csv,invocations_depth1_size102400_static-only.jsonl,local,local,1.0,0.5123615264892578,0.18526411056518555,2.0172173103769193,1.9820450058811871,1.0
1,102400,arbiter-only,faaspe,0.988006591796875,1.1368751525878906,1.206681728363037,0.9753704071044922,0.3427541255950928,300,0,300,0,0,,matrix_depth1_size102400_arbiter-only.csv,invocations_depth1_size102400_arbiter-only.jsonl,local,remote,0.0,0.5123615264892578,0.18526411056518555,1.9283387622149837,1.8500837779613772,1.753724145322045
1,102400,runtime-only,faaspe,0.8829832077026367,1.0396957397460938,1.107933521270752,0.8709462483723959,0.31676793098449707,300,270,30,0,3,native,matrix_depth1_size102400_runtime-only.csv,invocations_depth1_size102400_runtime-only.jsonl,local,local,0.9,0.5123615264892578,0.18526411056518555,1.7233597021870637,1.7098181078792465,1.0622312721037401
