name,num_op,strategy,access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
ycsb-t,1000,local,hot,1.71171236038208,1.7001628875732422,1.9951105117797852,2.0756888389587402,2.596139907836914,1.1508464813232422,1.673659086227417,584.21,0.00
ycsb-t,1000,remote,hot,1.0223710536956787,0.9856224060058594,1.103663444519043,1.1813688278198242,1.6717910766601562,0.7047653198242188,0.984112024307251,978.12,0.00
ycsb-t,1000,kayak,hot,1.2800145149230957,1.160740852355957,1.679515838623047,2.046232223510742,2.195119857788086,0.7202625274658203,1.2400627136230469,611.71,169.53
ycsb-t,1000,asfp,hot,1.4116313457489014,1.080155372619629,2.6114702224731445,3.077991008758545,3.154277801513672,0.7443428039550781,1.3718712329864502,590.81,117.59
ycsb-t,1000,local,cold,1.4755504131317139,1.3837814331054688,1.7694711685180664,2.263026237487793,2.506256103515625,0.9989738464355469,1.4393279552459717,677.71,0.00
ycsb-t,1000,remote,cold,1.0669546127319336,1.0367631912231445,1.129150390625,1.1496925354003906,1.8451213836669922,0.6797313690185547,1.0279808044433594,937.25,0.00
ycsb-t,1000,kayak,cold,1.288517713546753,1.1665821075439453,1.830124855041504,2.318410873413086,2.6378631591796875,0.5154609680175781,1.250753402709961,596.81,179.28
ycsb-t,1000,asfp,cold,1.3376848697662354,1.0204315185546875,2.462148666381836,3.1248950958251953,3.8712024688720703,0.5953311920166016,1.2993886470794678,633.93,113.63
