name,num_op,strategy,access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
image,100,local,cold,6.118877649307251,60.51898002624512,61.73081398010254,80.89522123336793,84.20324325561523,60.3182315826416,61.17977857589722,16.34,0.00
image,100,remote,cold,6.748147010803223,66.04266166687012,69.59607601165771,78.37134361267117,130.9182643890381,65.80972671508789,67.47161149978638,14.82,0.00
image,100,kayak,cold,6.737771034240723,67.42644309997559,76.22296810150146,120.46759843826304,138.70668411254883,51.24020576477051,67.36548185348511,14.84,0.00
image,100,asfp,cold,6.641822338104248,66.43867492675781,76.80027484893799,83.80798339843756,94.85816955566406,50.13132095336914,66.4058780670166,15.06,0.00
