name,num_op,strategy,access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
ml-serving,1000,local,hot,1672.216046333313,1668.8305139541626,1918.4394598007202,2207.041165828705,2363.3322715759277,1269.836664199829,1672.2065675258636,0.60,0.00
ml-serving,1000,remote,hot,1351.12442612648,1351.1124849319458,1351.1386156082153,1351.1748433113098,1351.8922328948975,1351.0124683380127,1351.1135981082916,0.74,0.00
ml-serving,1000,kayak,hot,1535.099960565567,1351.2908220291138,1877.7925968170166,2136.8418312072754,2282.426357269287,1287.2447967529297,1535.0866403579712,0.65,0.00
ml-serving,1000,asfp,hot,1439.7087540626526,1351.144552230835,1771.8391180038452,2041.1670589447021,2321.7079639434814,1350.9268760681152,1439.6950001716614,0.69,0.00
ml-serving,1000,local,cold,1748.709040403366,1704.6139240264893,2018.0083990097046,2261.073935031891,2564.488172531128,1308.5694313049316,1748.7000153064728,0.57,0.00
ml-serving,1000,remote,cold,1351.1169652938843,1351.099133491516,1351.1312007904053,1351.1655449867249,1355.3318977355957,1350.984811782837,1351.1062941551208,0.74,0.00
ml-serving,1000,kayak,cold,1554.5049650669098,1351.851224899292,1887.6501321792603,2175.9389877319336,2374.4099140167236,1335.819959640503,1554.4919531345367,0.64,0.00
ml-serving,1000,asfp,cold,1456.481425523758,1351.1741161346436,1799.3637323379517,2092.472324371338,2291.3060188293457,1349.9128818511963,1456.4677498340607,0.69,0.00
