name,num_op,strategy,access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
ml-serving,100,local,cold,169.95499396324158,1674.8077869415283,2011.694312095642,2256.7033910751384,3043.2422161102295,1280.5047035217285,1699.5402693748474,0.59,0.00
ml-serving,100,remote,cold,140.73393273353577,1410.3776216506958,1698.8550662994385,1909.7154521942139,1924.1409301757812,1068.1252479553223,1407.3300218582153,0.71,0.00
ml-serving,100,kayak,cold,150.24102091789246,1556.390881538391,1744.6385860443118,1952.6796579360985,2396.332263946533,1082.2913646697998,1502.3968076705933,0.67,0.00
ml-serving,100,asfp,cold,144.99551653862,1431.81574344635,1710.404872894287,2022.3845291137698,2046.6139316558838,1089.4639492034912,1449.9417901039124,0.69,0.00
