name,num_op,strategy,access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
video,1000,local,hot,721.2862322330475,702.4296522140503,791.3405179977417,980.3876233100891,1191.4827823638916,641.0548686981201,721.2540810108185,1.39,0.00
video,1000,remote,hot,649.1257312297821,649.1173505783081,649.1453647613525,649.1758871078491,649.3828296661377,648.9496231079102,649.1149158477783,1.54,0.00
video,1000,kayak,hot,691.2689523696899,658.8958501815796,760.2355718612671,953.9844226837158,1074.2530822753906,644.8259353637695,691.2416431903839,1.45,0.00
video,1000,asfp,hot,664.6803529262543,649.0476131439209,711.3476037979126,847.4664592742919,1095.278024673462,641.4034366607666,664.660315990448,1.50,0.00
video,1000,local,cold,720.6557631492615,704.9597501754761,785.777997970581,961.3093829154968,1043.5023307800293,628.0183792114258,720.6219375133514,1.39,0.00
video,1000,remote,cold,649.089197397232,649.0784883499146,649.106502532959,649.1575384140015,649.827241897583,648.9455699920654,649.0786108970642,1.54,0.00
video,1000,kayak,cold,689.194427728653,649.2002010345459,750.4182577133179,958.1720376014708,1080.9154510498047,630.5134296417236,689.1670520305634,1.45,0.00
video,1000,asfp,cold,666.9965903759003,649.126410484314,716.4566040039062,860.2666211128234,1086.3285064697266,622.1187114715576,666.9768016338348,1.50,0.00
