name,num_op,strategy,dependent_access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
100,1000,local,1,0.4246988296508789,0.3769397735595703,0.6344318389892578,0.6625699996948242,1.1606216430664062,0.28395652770996094,0.4199070930480957,2354.61,0.00
100,1000,remote,1,1.1149370670318604,1.104116439819336,1.1883258819580078,1.2279319763183594,2.0394325256347656,0.8883476257324219,1.1041226387023926,896.91,0.00
100,1000,kayak,1,0.8310167789459229,0.9225606918334961,1.1563539505004883,1.2254738807678223,2.0132064819335938,0.316619873046875,0.8201649188995361,1203.35,0.00
100,1000,asfp,1,0.8597536087036133,0.8375644683837891,1.0217905044555664,1.2363195419311523,1.7809867858886719,0.5710124969482422,0.8504848480224609,1163.12,0.00
1000,1000,local,1,1.3289618492126465,1.3244152069091797,1.3645410537719727,1.4205026626586914,2.092123031616211,1.218557357788086,1.3261218070983887,752.47,0.00
1000,1000,remote,1,2.1904754638671875,2.1837949752807617,2.2351741790771484,2.268362045288086,3.049135208129883,1.954793930053711,2.1792855262756348,456.52,0.00
1000,1000,kayak,1,1.8251409530639648,1.5535354614257812,2.199435234069824,2.2378158569335938,2.8624534606933594,1.255035400390625,1.814054012298584,547.90,0.00
1000,1000,asfp,1,2.112434148788452,2.0743608474731445,2.3111343383789062,2.5771522521972656,2.899169921875,1.7161369323730469,2.1012606620788574,473.39,0.00
10000,1000,local,1,10.442294836044312,10.447859764099121,10.459661483764648,10.489709377288818,10.690450668334961,10.380268096923828,10.438587188720703,95.76,0.00
10000,1000,remote,1,11.174795866012573,11.168956756591797,11.187577247619629,11.209268569946289,11.934757232666016,11.049270629882812,11.163615226745605,89.49,0.00
10000,1000,kayak,1,10.89974594116211,11.132001876831055,11.275529861450195,11.295368671417236,12.085437774658203,10.3607177734375,10.888418436050415,91.75,0.00
10000,1000,asfp,1,11.204822301864624,11.142253875732422,11.471271514892578,11.592154502868652,11.899709701538086,10.972023010253906,11.192787408828735,89.25,0.00
100000,1000,local,1,100.33458280563354,100.3272533416748,100.34012794494629,100.4600977897644,101.08232498168945,100.22568702697754,100.33198475837708,9.97,0.00
100000,1000,remote,1,101.18194031715393,101.16934776306152,101.20799541473389,101.25345945358276,101.93014144897461,101.01199150085449,101.17113924026489,9.88,0.00
100000,1000,kayak,1,100.76791214942932,100.90196132659912,101.15838050842285,101.24074935913086,101.86600685119629,100.22902488708496,100.76011300086975,9.92,0.00
100000,1000,asfp,1,101.21338152885437,101.15385055541992,101.48990154266357,101.61782264709473,101.98616981506348,100.92902183532715,101.20247220993042,9.88,0.00
100,1000,local,2,0.5372068881988525,0.5357265472412109,0.5488395690917969,0.6025075912475586,1.3298988342285156,0.4429817199707031,0.5337152481079102,1861.48,0.00
100,1000,remote,2,1.0491597652435303,1.0318756103515625,1.1224985122680664,1.1558723449707031,1.7361640930175781,0.7183551788330078,1.038794755935669,953.14,0.00
100,1000,kayak,2,0.9135622978210449,0.9622573852539062,1.1413335800170898,1.2509965896606445,1.8773078918457031,0.49996376037597656,0.9035463333129883,1094.62,0.00
100,1000,asfp,2,1.064955472946167,0.9773969650268555,1.4701128005981448,1.7222046852111816,2.1941661834716797,0.7169246673583984,1.0535123348236084,939.01,0.00
1000,1000,local,2,1.5770153999328613,1.5256404876708984,1.8033981323242188,1.8341636657714844,2.2134780883789062,1.3053417205810547,1.5724148750305176,634.11,0.00
1000,1000,remote,2,2.12214732170105,2.1202564239501953,2.1703481674194336,2.2068071365356445,2.8624534606933594,1.8830299377441406,2.1110317707061768,471.22,0.00
1000,1000,kayak,2,1.9327490329742432,1.9775629043579102,2.145552635192871,2.2254109382629395,2.8307437896728516,1.5175342559814453,1.9221432209014893,517.40,0.00
1000,1000,asfp,2,2.2767136096954346,2.1598339080810547,2.7964115142822266,2.9395318031311035,3.736734390258789,1.8002986907958984,2.2648086547851562,439.23,0.00
10000,1000,local,2,10.642047882080078,10.629415512084961,10.650634765625,11.046156883239746,11.345148086547852,10.500431060791016,10.63792109489441,93.97,0.00
10000,1000,remote,2,11.185276985168457,11.173248291015625,11.202096939086914,11.226658821105957,12.001514434814453,11.030912399291992,11.17408800125122,89.40,0.00
10000,1000,kayak,2,10.93734097480774,10.852217674255371,11.179447174072266,11.2359619140625,11.943817138671875,10.514020919799805,10.926183223724365,91.43,0.00
10000,1000,asfp,2,11.338983058929443,11.179447174072266,11.978769302368164,12.118358612060547,12.214183807373047,11.05809211730957,11.325956106185913,88.19,0.00
100000,1000,local,2,100.62606477737427,100.61812400817871,100.63469409942627,100.77525615692139,101.48882865905762,100.54636001586914,100.62230014801025,9.94,0.00
100000,1000,remote,2,101.20691180229187,101.19771957397461,101.21512413024902,101.24145984649658,101.96304321289062,101.04918479919434,101.19603514671326,9.88,0.00
100000,1000,kayak,2,100.88559484481812,100.8455753326416,101.1336088180542,101.24292373657227,101.75561904907227,100.48961639404297,100.87829613685608,9.91,0.00
100000,1000,asfp,2,101.19213724136353,101.104736328125,101.58283710479736,101.73252820968628,101.94253921508789,100.8906364440918,101.18046593666077,9.88,0.00
100,1000,local,4,0.8077108860015869,0.7929801940917969,0.8372783660888672,0.8876323699951172,1.6207695007324219,0.7605552673339844,0.8044857978820801,1238.07,0.00
100,1000,remote,4,1.1178343296051025,1.1162757873535156,1.1937618255615234,1.213819980621338,1.9145011901855469,0.8568763732910156,1.1072120666503906,894.59,0.00
100,1000,kayak,4,0.994147777557373,0.9973049163818359,1.146078109741211,1.233816146850586,1.9307136535644531,0.6296634674072266,0.9865620136260986,1005.89,0.00
100,1000,asfp,4,1.2459754943847656,1.0601282119750977,2.0339488983154297,2.3126816749572754,2.7451515197753906,0.7584095001220703,1.2338685989379883,802.58,0.00
1000,1000,local,4,1.83927321434021,1.8128156661987305,2.0227670669555664,2.208247184753418,2.2890567779541016,1.5873908996582031,1.834679126739502,543.69,0.00
1000,1000,remote,4,1.9553751945495605,1.962423324584961,2.004384994506836,2.0618820190429688,2.8073787689208984,1.5788078308105469,1.945218801498413,511.41,0.00
1000,1000,kayak,4,1.9988715648651123,1.9574165344238281,2.1953821182250977,2.4449682235717773,2.816438674926758,1.6145706176757812,1.9892454147338867,500.28,0.00
1000,1000,asfp,4,2.2538509368896484,2.113223075866699,3.039383888244629,3.2113003730773926,3.8301944732666016,1.6009807586669922,2.2417409420013428,443.69,0.00
10000,1000,local,4,10.853668689727783,10.868549346923828,10.992813110351562,11.180531978607178,11.74020767211914,10.693073272705078,10.850934505462646,92.13,0.00
10000,1000,remote,4,11.05332326889038,11.03818416595459,11.086487770080566,11.1151123046875,11.809110641479492,10.887622833251953,11.04201364517212,90.47,0.00
10000,1000,kayak,4,11.317601442337036,11.23344898223877,11.56017780303955,12.049980163574219,12.439250946044922,10.92219352722168,11.306365728378296,88.36,0.00
10000,1000,asfp,4,11.166618824005127,11.007547378540039,11.826181411743164,11.953401565551758,12.080907821655273,10.794639587402344,11.154645919799805,89.55,0.00
100000,1000,local,4,101.009756565094,100.98433494567871,101.12025737762451,101.21329545974731,101.79924964904785,100.84962844848633,101.00635504722595,9.90,0.00
100000,1000,remote,4,101.1810507774353,101.17268562316895,101.19106769561768,101.22023820877075,102.03075408935547,100.98481178283691,101.16996598243713,9.88,0.00
100000,1000,kayak,4,101.16537761688232,101.15396976470947,101.28052234649658,101.64124488830566,102.20885276794434,100.83794593811035,101.1572527885437,9.88,0.00
100000,1000,asfp,4,101.37419509887695,101.16410255432129,102.23934650421143,102.70953893661499,103.03235054016113,100.98481178283691,101.36377120018005,9.86,0.00
100,1000,local,8,1.989100694656372,2.002239227294922,2.051115036010742,2.095484733581543,2.895832061767578,1.4922618865966797,1.9838273525238037,502.74,0.00
100,1000,remote,8,0.9743325710296631,0.9664297103881836,1.0784626007080078,1.1263012886047363,1.9271373748779297,0.6749629974365234,0.9656045436859131,1026.34,0.00
100,1000,kayak,8,1.339606523513794,1.5996694564819336,1.7921686172485352,2.285163402557373,2.6268959045410156,0.6666183471679688,1.3309226036071777,746.49,0.00
100,1000,asfp,8,1.4930167198181152,1.117706298828125,3.058171272277832,3.561339378356933,3.8344860076904297,0.7071495056152344,1.4822416305541992,669.78,0.00
1000,1000,local,8,2.7945916652679443,2.8128623962402344,2.9153823852539062,2.949960231781006,3.8695335388183594,2.4857521057128906,2.7891664505004883,357.83,0.00
1000,1000,remote,8,2.1711995601654053,2.161741256713867,2.22015380859375,2.2389960289001465,2.9561519622802734,1.9409656524658203,2.1601428985595703,460.57,0.00
1000,1000,kayak,8,2.4057252407073975,2.550840377807617,2.965259552001953,3.443028926849365,3.812551498413086,1.6055107116699219,2.3960390090942383,415.68,0.00
1000,1000,asfp,8,2.4327635765075684,2.1179914474487305,3.883981704711914,4.328048229217529,4.677295684814453,1.7113685607910156,2.4213507175445557,411.06,0.00
10000,1000,local,8,11.426134824752808,11.402726173400879,11.548829078674316,11.870672702789307,12.748956680297852,11.20305061340332,11.423502445220947,87.52,0.00
10000,1000,remote,8,11.182111740112305,11.171102523803711,11.211156845092773,11.238574981689453,11.717557907104492,11.013984680175781,11.17115569114685,89.43,0.00
10000,1000,kayak,8,11.671136140823364,11.674880981445312,12.383103370666504,13.009791374206543,13.28277587890625,10.983705520629883,11.660342931747437,85.68,0.00
