name,num_op,strategy,dependent_access,total_time,median,p90,p99,max,min,mean,success tput,abort tput
100,1000,local,1,0.49396681785583496,0.4737377166748047,0.5555391311645508,0.5688786506652832,1.3959407806396484,0.3657341003417969,0.4879436492919922,2024.43,0.00
100,1000,remote,1,1.1947221755981445,1.1817216873168945,1.2932300567626953,1.3540124893188477,2.068758010864258,0.9286403656005859,1.1841387748718262,837.01,0.00
100,1000,kayak,1,0.9302513599395752,1.0073184967041016,1.3097047805786133,1.3590025901794434,2.1276473999023438,0.38814544677734375,0.9185545444488525,1074.98,0.00
100,1000,asfp,1,1.2850234508514404,1.2487173080444336,1.552581787109375,1.721646785736084,2.317190170288086,0.9415149688720703,1.272594690322876,778.20,0.00
1000,1000,local,1,1.6133580207824707,1.584172248840332,1.6722917556762695,1.6829991340637207,2.4232864379882812,1.4524459838867188,1.601999282836914,619.83,0.00
1000,1000,remote,1,2.181570291519165,2.172231674194336,2.2878646850585938,2.331550121307373,3.056049346923828,1.9130706787109375,2.1707375049591064,458.39,0.00
1000,1000,kayak,1,1.901639699935913,2.1355152130126953,2.2724390029907227,2.2995662689208984,3.034353256225586,1.4154911041259766,1.888179063796997,525.86,0.00
1000,1000,asfp,1,2.261455774307251,2.2236108779907227,2.444291114807129,2.5669288635253906,2.942323684692383,1.9993782043457031,2.248889684677124,442.19,0.00
10000,1000,local,1,10.63429856300354,10.611772537231445,10.629916191101074,11.158063411712646,11.260509490966797,10.546207427978516,10.622444868087769,94.04,0.00
10000,1000,remote,1,11.31319785118103,11.297464370727539,11.331558227539062,11.363568305969238,12.108087539672852,11.05356216430664,11.30233097076416,88.39,0.00
10000,1000,kayak,1,11.002732515335083,11.18171215057373,11.352300643920898,11.370186805725098,12.039422988891602,10.417699813842773,10.988180875778198,90.89,0.00
10000,1000,asfp,1,11.387732982635498,11.322259902954102,11.658000946044922,11.73760175704956,11.880874633789062,11.15870475769043,11.374828338623047,87.81,0.00
100000,1000,local,1,100.7462203502655,100.7225513458252,100.76596736907959,100.8155345916748,101.58872604370117,100.60787200927734,100.7346122264862,9.93,0.00
100000,1000,remote,1,101.331782579422,101.3174057006836,101.34291648864746,101.37210130691528,102.13112831115723,101.18556022644043,101.32128715515137,9.87,0.00
